foundation_name,foundation_state,foundation_total_assets,siblings_funded,grants_to_siblings,target_grants_to_siblings,target_first_grants,median_grant_size_to_siblings,most_recent_grant_year,open_to_applicants,geo_eligible,client_eligible
THE FISHER FAMILY FOUNDATION,OK,590682,1,1,0,0,2000,2023,f,t,
PELOTON FOUNDATION INC,MA,546196,1,1,0,0,2003,2022,f,t,
LESTER PORETSKY FAMILY FOUNDATION INC,MD,536362,1,1,0,0,500,2022,f,t,
REJOICE CARE FOUNDATION,CA,477297,1,2,0,0,5000,2020,f,t,
KAYNE ANDERSON CAPITAL ADVISORS,CA,464413,1,1,0,0,50,2018,f,t,
WONG FAMILY FOUNDATION,TX,452768,1,1,0,0,500,2020,f,t,
THE HACKNEY FOUNDATION,AL,427250,1,1,0,0,100,2020,f,t,
GEORGE & BELLE PEARCE TRUST,KS,417566,1,5,0,0,1500,2023,t,t,
Blackberry Fund Inc,DC,345972,1,2,0,0,1250,2023,f,t,
JOHN AND RACHEL KING FOUNDATION INC,MD,294855,1,1,0,0,7500,2021,t,t,
The Kadens Family Foundation,DE,285356,1,2,0,0,7500,2021,f,t,
REDSKIN FOUNDATION INC,MD,239085,1,2,0,0,20000,2023,t,t,
LISA AND ALAN ENGEL FOUNDATION,AL,225772,1,1,0,0,50,2020,f,t,
ECW GIVING FOUNDATION INC,MA,220734,1,3,0,0,35000,2023,f,t,
MINDUF FOUNDATION,CA,214862,1,1,0,0,8299,2022,f,t,
HAWLEY FAMILY CHARITABLE FOUNDATION,MO,204449,1,1,0,0,10000,2019,t,t,
IKDH FOUNDATION,MA,199261,1,1,0,0,250,2017,f,t,
RONALD J MIDURA FOUNDATION INC,NC,199107,1,5,0,0,1000,2023,t,t,
AA BATARSE FOUNDATION,CA,193826,1,1,0,0,500,2018,f,t,
STRITECKY FAMILY FOUNDATION INC,SD,192170,1,1,0,0,250,2019,f,t,
THE KIRSCH FAMILY FOUNDATION INC,FL,167777,1,2,0,0,752,2024,f,t,
Oxford Industries Foundation Inc,GA,163307,1,1,0,0,50000,2022,t,t,
GREENSTATE FOUNDATION,IA,154547,1,1,0,0,2500,2022,t,t,
THE ACCEL FOUNDATION,IA,119942,1,1,0,0,241,2022,f,t,
THORESEN FOUNDATION FOR SPECIAL,NJ,80752,1,1,0,0,600,2023,t,t,
BOB'S DISCOUNT FURNITURE CHARITABLE,CT,70295,1,1,0,0,500,2021,t,t,
THE LAZARD CHARITABLE FOUNDATION,NY,65025,2,2,0,0,600,2023,t,t,
MF Williams Foundation,IL,61964,1,1,0,0,7035,2023,f,t,
THE COLLATON FAMILY FOUNDATION,CO,24202,1,1,0,0,19574,2018,f,t,
THE JOHN W HARRIS FAMILY FOUNDATION,NC,20298,1,1,0,0,5000,2018,f,t,
MANDELBAUM SALSBURG CHARITABLE,NJ,16374,1,2,0,0,1000,2023,f,t,
ECCLESIA MISSIONS,SC,10935,1,2,0,0,2005,2021,f,t,
AMELIA CLAIRE FOUNDATION INC,IL,6906,1,1,0,0,505,2018,t,t,
THE COIL FOUNDATION,CA,0,1,1,0,0,1700,2019,f,t,
ROBERT D STEARNES MEMORIAL,IL,0,1,2,0,0,7086,2022,f,t,
FIFTH THIRD CHICAGOLAND FOUNDATION,IL,0,1,2,0,0,1000,2018,t,t,
MUFG UNION BANK FOUNDATION AG,WI,0,1,3,0,0,45000,2022,f,t,
THE CATHERINE L & EDWARD A LOZICK,OH,0,1,1,0,0,5000,2020,f,t,
