foundation_name,foundation_state,foundation_total_assets,siblings_funded,grants_to_siblings,target_grants_to_siblings,target_first_grants,median_grant_size_to_siblings,most_recent_grant_year,open_to_applicants,geo_eligible,client_eligible
THE JOSEPH AND FLORENCE MANDEL FAMILY-,OH,161812900,1,2,0,0,42500,2023,t,t,
THE JOSEPH AND FLORENCE MANDEL FAMILY-,OH,161315033,1,3,0,0,25000,2023,t,t,
FARMER FAMILY FOUNDATION,OH,160988351,1,2,0,0,20000,2023,t,t,
MILLSTONE FUND,OH,160655097,1,2,0,0,61542,2023,t,t,
THE FISCHER FAMILY FOUNDATION 2008,KY,158607643,1,4,0,0,5050,2023,f,t,
HCA HEALTHCARE FOUNDATION,TN,157252663,1,3,0,0,5000,2023,t,t,
MERANCAS FOUNDATION INC,NC,152384008,1,2,0,0,25000,2023,t,t,
PRIEM FAMILY FOUNDATION,CA,142268350,1,2,0,0,26750,2022,f,t,
Independence Blue Cross Foundation,PA,131340037,1,1,0,0,105104,2022,t,t,
THE CIGNA GROUP FOUNDATION,PA,129315317,2,4,0,0,238,2023,t,t,
LIVING LEGACY FOUNDATION,TN,126226219,1,1,0,0,10000,2023,f,t,
JOHNNY CARSON FOUNDATION,CA,123658915,1,5,0,0,30000,2022,f,t,
ALABAMA POWER FOUNDATION INC,AL,121475169,1,1,0,0,1000,2023,t,t,
BAIRD FOUNDATION INC,WI,115318490,2,6,0,0,112,2023,f,t,
CAROL AND GENE LUDWIG FAMILY FOUNDATION,DC,114961194,1,1,0,0,1000,2021,f,t,
THE KROGER CO FOUNDATION,OH,111434488,2,2,0,0,10000,2020,t,t,
JAMES & BEATRICE SALAH CHARITABLE TRUST,FL,107258498,1,1,0,0,50000,2019,f,t,
EQUITABLE FOUNDATION INC,NY,106085926,1,1,0,0,105,2023,t,t,
HCS FOUNDATION,OH,104224943,1,1,0,0,238807,2020,t,t,
Charles H Dater Foundation Inc,OH,102786063,1,3,0,0,30000,2022,t,t,
EDWARD JONES FOUNDATION,MO,101433790,1,1,0,0,105,2023,f,t,
SCAIFE FAMILY FOUNDATION,FL,96340003,1,3,0,0,90600,2023,t,t,
MORGAN STANLEY FOUNDATION INC,NY,96112177,1,2,0,0,1750,2020,f,t,
KETTERING FAMILY FOUNDATION,OH,92450197,1,2,0,0,7500,2022,t,t,
SYNCHRONY FOUNDATION,CT,88394943,4,4,0,0,550,2022,f,t,
THE RAYMOND JOHN WEAN FOUNDATION,OH,87987079,1,2,0,0,2750,2021,t,t,
SCHLESSMAN FOUNDATION INC,CO,84366246,1,3,0,0,12500,2022,f,t,
EMPIRE HEALTH FOUNDATION,WA,84324105,1,1,0,0,3825,2022,f,t,
THE ALLSTATE FOUNDATION,IL,77865078,3,4,0,0,3000,2023,t,t,
THE JAMES J AND JOAN A GARDNER,OH,73947037,1,1,0,0,2000,2018,t,t,
BRISTOL-MYERS SQUIBB FOUNDATION INC,NJ,68802568,3,22,0,0,525,2023,t,t,
GEORGE AND SARAH BUCHANAN FOUNDATION,NC,67868350,1,1,0,0,85000,2023,t,t,
BAXTER INTERNATIONAL FOUNDATION,IL,66398025,1,23,0,0,50,2023,f,t,
TEXAS INSTRUMENTS FOUNDATION,TX,65955596,2,3,0,0,750,2023,t,t,
Carl C Anderson Sr and Marie Jo Anderson,TX,64104719,2,4,0,0,12500,2023,t,t,
THE BEVERIDGE FAMILY FOUNDATION,MA,60560634,1,2,0,0,33750,2020,t,t,
CME GROUP FOUNDATION,IL,59188963,1,3,0,0,10000,2023,f,t,
L & L NIPPERT CHARITABLE FOUNDATION INC,OH,56899268,1,4,0,0,25000,2023,t,t,
CONSUMERS ENERGY FOUNDATION,MI,55085639,1,1,0,0,2500,2022,t,t,
T GARY AND KATHLEEN ROGERS PRIVATE,CA,53684376,1,2,0,0,5000,2019,t,t,
THE FRANCES R LUTHER CHARITABLE TRUST,OH,52040463,1,4,0,0,40000,2023,t,t,
THE ROCK FOUNDATION,CA,50837780,1,3,0,0,100000,2022,f,t,
Franklin P and Arthur W Perdue Foundation,DE,50644395,1,1,0,0,2000,2020,t,t,
NICHOLAS FAMILY FOUNDATION TRUST,WI,50337386,1,2,0,0,10000,2022,t,t,
NATIONAL RECREATION FOUNDATION,IL,50284380,2,3,0,0,30000,2023,f,t,
THE LORI AND DAVID NICHOLAS,WI,49926884,1,1,0,0,10000,2023,t,t,
AbbVie Foundation,IL,47404120,2,4,0,0,212,2020,f,t,
GGS FAMILY FOUNDATION,CA,44854071,1,1,0,0,25000,2023,f,t,
Pacific Youth Foundation,CA,44573365,1,2,0,0,10000,2020,t,t,
AMICA COMPANIES FOUNDATION,RI,43815872,1,1,0,0,53,2023,f,t,
IMC CHICAGO CHARITABLE FOUNDATION,IL,43735748,2,4,0,0,5664,2024,f,t,
CHUBB CHARITABLE FOUNDATION,PA,43474175,1,2,0,0,75,2023,t,t,
