,,,,,,,,,,,,,
ein,business name,state,total assets,grantee count,cb grant count,intermediary grant count,paid officer count,phone,website,top officer name,top officer title,segment,segment priority
131624021,WILLIAM T GRANT FOUNDATION INC,NY,"$403,141,185", 85 , 2 , 12 ,1,2127520071,WWW.WTGRANTFDN.ORG,ADAM GAMORAN,PRESIDENT,Intermediary Funders,1
955004033,UNIHEALTH FOUNDATION,CA,"$375,873,114", 83 , 4 , 11 ,1,2136306500,UNIHEALTHFOUNDATION.ORG,BRADLEY C CALL,CHAIRMAN & CEO,Intermediary Funders,1
843049720,ARCONIC CHARITABLE FOUNDATION II,PA,$0, 82 , 4 , 11 ,0,4123556701,N/A,RYAN KISH,PRESIDENT/TREASURER,Intermediary Funders,1
920166198,Alaska Airlines Foundation,AK,"$10,478,825", 80 , 1 , 31 ,0,2063925719,N/A,Diana Birkett Rakow,Chairman and President,Intermediary Funders,1
916020515,STEWARDSHIP FOUNDATION,WA,"$99,055,709", 78 , 1 , 10 ,0,2532728336,WWW.STEWARDSHIPFDN.ORG,WILLIAM T WEYERHAEUSER,"DIRECTOR, CHAIR",Intermediary Funders,1
452599017,FARMINGTON BANK COMMUNITY,CT,"$17,588,632", 76 , 4 , 12 ,0,8608106506,FBCFCT.ORG,ANDREAS KAPETANOPOULOS,DIRECTOR,Intermediary Funders,1
756029882,The Priddy Foundation,TX,"$190,573,915", 74 , 3 , 30 ,1,9407238720,www.priddyfoundation.org,Dr Shelley S Sweatt,President/CEO,Intermediary Funders,1
160845962,THE WESTERN NEW YORK FOUNDATION,NY,"$22,789,937", 72 , 2 , 32 ,0,7168394225,WWW.WNYFOUNDATION.ORG,JENNIFER S JOHNSON,CHAIRPERSON,Intermediary Funders,1
250965573,STAUNTON FARM FOUNDATION,PA,"$65,350,551", 70 , 4 , 12 ,0,4122818020,WWW.STAUNTONFARM.ORG,MARGARET L WEAVER,VICE PRESIDENT,Intermediary Funders,1
131963407,Research Corporation dba Research,AZ,"$222,065,057", 69 , -   , 11 ,2,5205711111,www.rescorp.org,DR DANIEL I LINZER,CEO/PRESIDENT AND BOARD MEMBER,Intermediary Funders,1
382143122,ETHEL AND JAMES FLINN FOUNDATION,MI,"$58,941,116", 69 , 24 , 15 ,1,3133093436,WWW.FLINNFOUNDATION.ORG,ANDREA M COLE,CHIEF EXECUTIVE OFFICER,Intermediary Funders,1
134200689,AVANGRID FOUNDATION INC,CT,"$5,760,467", 64 , -   , 32 ,0,2038366457,WWW.AVANGRID.COM,LANEY BROWN,PRESIDENT,Intermediary Funders,1
386083080,OLESON FOUNDATION,MI,"$23,094,804", 64 , -   , 10 ,1,2319469349,OLESONFOUNDATION.ORG,STEPHANIE RUSTEM,EXECUTIVE DIRECTOR,Intermediary Funders,1
466854005,MONTANA HEALTHCARE FOUNDATION,MT,"$249,811,431", 62 , 7 , 10 ,2,4064517060,WWW.MTHF.ORG,JUDITH LAPAN,CHAIR,Intermediary Funders,1
350882856,BALL BROTHERS FOUNDATION,IN,"$170,691,544", 59 , 18 , 17 ,0,7657415500,www.ballfdn.org,NANCY B KEILTY,Director,Intermediary Funders,1
953924667,HONDA USA FOUNDATION,CA,"$64,812,695", 59 , -   , 23 ,0,3107810267,WWW.HONDA.COM,RICH RICHARDSON,PRESIDENT,Intermediary Funders,1
860186064,THE LEGACY FOUNDATION OF SOUTHEAST,AZ,"$67,032,634", 55 , -   , 10 ,1,5203356015,WWW.LFSAZ.ORG,MARGARET HEPBURN,CHIEF EXECUTIVE OFFICER,Intermediary Funders,1
223317340,Eastern Bank Foundation,MA,"$249,698,317"," 1,188 ", -   , -   ,0,8003278376,www.easternbank.com/foundation,Bari A Harlam,Trustee,High-Volume Regional,2
931254171,MARIE LAMFROM CHARITABLE FOUNDATION,OR,"$374,872,001", 754 , 995 , 4 ,2,5037223490,WWW.MARIELAMFROM.ORG,JOHN TYLER HOBBS,PRESIDENT,High-Volume Regional,2
133127947,BRISTOL-MYERS SQUIBB FOUNDATION INC,NJ,"$68,802,568", 659 , -   , -   ,0,2125464200,WWW.BMS.COM/FOUNDATION,CATHARINE GRIMES,DIRECTOR & PRESIDENT,High-Volume Regional,2
570901832,ALABAMA POWER FOUNDATION INC,AL,"$121,475,169", 622 , -   , -   ,2,2052570231,WWW.POWEROFGOOD.COM,Myla Calhoun,President & Director,High-Volume Regional,2
742568941,THE COLORADO HEALTH FOUNDATION,CO,"$2,822,619,846", 567 , -   , -   ,2,3039533600,WWW.COLORADOHEALTH.ORG,KAREN MCNEIL-MILLER,PRESIDENT & CEO,High-Volume Regional,2
956085895,THE RALPH M PARSONS FOUNDATION,CA,"$438,732,767", 460 , 14 , 9 ,1,2133627600,WWW.RMPF.ORG,WENDY GAREN,PRESIDENT & CEO,High-Volume Regional,2
